id;title;primary_authors;primary_authors_profiles;secondary_authors;corporate_authors;formats;languages;series;subjects;urls;urls_descriptions
UFPE_5ad808f6e45860216975a22e351dd156;Análise de diagnóstico em modelos de regressão Kumaraswamy;CARVALHO, Victor José Araújo de;;;;doctoralThesis;por;;"Estatística matemática; Análise de influência";https://repositorio.ufpe.br/handle/123456789/37696;https://repositorio.ufpe.br/handle/123456789/37696
USP_18de2c65fe9c188d84e7c4b8dd2164c9;As distribuições Kumaraswamy-log-logística e Kumaraswamy-logística;Santana, Tiago Viana Flor de;;;;masterThesis;por;;"Análise de regressão e de correlação; Análise de sobrevivência; Distribuições (Probabilidade); Distributions (Probability); Logística.; Logistics.; Regression analysis and correlation; Survival analysis";http://www.teses.usp.br/teses/disponiveis/11/11134/tde-29112010-093844/;http://www.teses.usp.br/teses/disponiveis/11/11134/tde-29112010-093844/
USP_721238754d969ce46e06470a2d79e1a8;A distribuição Kumaraswamy normal: propriedades, modelos de regressão linear e diagnóstico;Machado, Elizabete Cardoso;;;;doctoralThesis;por;;"Classe Lehmann; Desvio médio; Distribuição Kumaraswamy normal; Função geradora; Função quantílica; Generating function; Kumaraswamy normal distribution; Lehmann classes; Mean deviation; Moment; Quantile function";http://www.teses.usp.br/teses/disponiveis/45/45133/tde-15072019-150744/;http://www.teses.usp.br/teses/disponiveis/45/45133/tde-15072019-150744/
USP_29e52eb84a53c8125541d88b7bb7fb15;Distribuições das classes Kumaraswamy generalizada e exponenciada: propriedades e aplicações;Braga Junior, Antonio Carlos Ricardo;;;;doctoralThesis;por;;"Análise de sobrevivência; Distribuições (Probabilidade); Distributions (Probability); Máxima verossimilhança; Maximum likelihood; Modelos de regressão; Regression models; Survival analysis";http://www.teses.usp.br/teses/disponiveis/11/11134/tde-07062013-150103/;http://www.teses.usp.br/teses/disponiveis/11/11134/tde-07062013-150103/
USP_dd33ad68f03d04b7aa61ecaf2a51d6c8;Aperfeiçoamento de métodos assintóticos para a distribuição Kumaraswamy;Carneiro, Hérica Priscila de Araújo;;;;doctoralThesis;por;;"Bartlett correction; Bootstrap Bartlett correction; Coeficiente de assimetria; Correção de Bartlett; Correção de Bartlett bootstrap; Distribuição Kumaraswamy; Kumaraswamy distribution; Kumaraswamy regression model; Median bias reduction; Modelo de regressão Kumaraswamy; Redução do viés mediano; Skewness coefficient";https://www.teses.usp.br/teses/disponiveis/45/45133/tde-25082020-165505/;https://www.teses.usp.br/teses/disponiveis/45/45133/tde-25082020-165505/
UFMG_5f16a6aa8c2a2b8f028ae44e206f29b9;Regressão espacial quantílica para previsão da velocidade do vento;Gabriel Henrique Oliveira Assunção;;;;masterThesis;por;;"Previsão da Velocidade do Vento; Kumaraswamy; Log-Logística; Regressão Espacial Quantílica; INLA; SPDE; Estatistica";http://hdl.handle.net/1843/BUOS-B4HGMP;http://hdl.handle.net/1843/BUOS-B4HGMP
UFMG_29ac3be6b07e6c7d05b121937d14a52c;KGsurv: an R package to fit the Kumaraswamy-G family of distributions for survival data;Caio Gabriel Barreto Balieiro;;;;masterThesis;eng;;"Kumaraswamy-G; survival analysis; regression models; KGsurv package.; Estatística – Teses; Análise de sobrevivência (Biometria) – Teses; Análise de regressão – Teses";"http://hdl.handle.net/1843/39046; https://orcid.org/0000-0003-2332-4457";"http://hdl.handle.net/1843/39046; https://orcid.org/0000-0003-2332-4457"
UFPE_8b7b7a9cac0949396f1e846609171087;Modelos Kumaraswamy inflacionados;SANTOS, Jéssica Priscila Rivas dos;;;;doctoralThesis;por;;"Estatística; Máxima verossimilhança";https://repositorio.ufpe.br/handle/123456789/29753;https://repositorio.ufpe.br/handle/123456789/29753
UFPE_5c65826d8b01cb30c993a229e376fb4e;Diagnóstico em modelos de regressão simplex;SILVA, Luana Cecília Meireles da;;;;doctoralThesis;por;;"Estatística; Modelos de regressão";https://repositorio.ufpe.br/handle/123456789/33514;https://repositorio.ufpe.br/handle/123456789/33514
USP_bf3b7c575eaadc5202b0eb581e850dba;Modelos de regressão com e sem fração de cura para dados bivariados em análise de sobrevivência;Fachini, Juliana Betini;;;;doctoralThesis;por;;"Análise de sobrevivência; Bivariate data and censored; Cured fraction; Dados censurados; Likelihood subject to restriction on the parameters; Modelos matemáticos; Regressão linear; Regression models; Sensitivity analysis.; Verosimilhança.";http://www.teses.usp.br/teses/disponiveis/11/11134/tde-12092011-170753/;http://www.teses.usp.br/teses/disponiveis/11/11134/tde-12092011-170753/
